sample,parallel,sequencial
100,13,0.075,13,0.048
1000,126,0.008,133,0.006
10000,1546,0.010,1593,0.007
100000,18796,0.028,19447,0.027
500000,104137,0.120,110089,0.125
1000000,218695,0.265,224148,0.245
10000000,2329564,2.474,2725680,2.875
